Review,Label
"Very good overall, material and price are very fair. However, you may need to buy shoes that are two sizes larger than normal. Since I originally wore size 40 shoes, I chose size 41, but when I put on socks, they become very crowded. Overall okay",Neutral
"Material ok cntik... penghantaran laju 👍 Cuma.....klu nak ambik saiz jng ngm²🤭 ambik saiz besar Dr saiz anda😅saya ambik saiz 42 (untuk suami) kena ambik saiz 44 kot baru muat,apa pn saller laju buat Keja👍",Positive
"Eventho no brand, random brand but if youre looking for ootd shoes, this is the best! Stylo damnn. I really love it. The shipping is in a blink of an eye very fast tho. Thanks",Positive
With the price i think it is really soft and good to wear just don’t wear it daily cuz the material seems to not be durable enuf. puas hati lah..,Neutral
Penghantaran cepat Pembungkusan tiada kotak biasa-biasa je Selesa la juga dipakai Harga pun boleh la just a normal shoe,Neutral
kasut dah smpai size pun ngam overall oke... cuma tkda kotak tpi brng tk rosak jg... My husband don't like the design,Negative
Penghantaran sangt cpat sampai.. barang tiada sebarang kerosakan dan barang yang dihantar mengikut kehendak yang dipilih.. seller juga memberi kerjasama yang baik..btw thank you for your service...,Negative
"Recommend seller, I like the design actually and very nice. I expected the amazing quality of these shoes. Akan Beli lagi👍",Positive
Thank you seller. Cepat sangat penghantaran. Butiran kasut seperti dalam gambar dan video. Corak tu macam dicat sahaja. But it's okey. Tetap lawa.,Neutral
Okay Dah sampai dengan selamat tanpa sebarang kerosakan lain Hari boleh order lagi Di masa Akan datang terbaik dengan HARGA Dan fast delivery,Positive
cantik sangat saya beli untuk anak lelaki saya ...dia punya kasut saiz besaq betul sapa tak boleh tumpang..ank saya puas hati sangat kasut untuk pakai raya,Negative
"Kasut dah sampai dengan selamat, tapi xde kotak. Tiada kerusakan, semoga boleh tahan lama bila di pakai. Kalau rasa selesa Next time boleh order lagi",Neutral
"Kasut sangat mantap dan kena dengan harganya. Selesa dipakai, cuma kalau lama-lama rasanya tapak belah dalam kasut akan haus jadinya boleh standby beli tapak belah dalam. Overall condition very good. Walaupun takda kotak, tapi tak penyek and sorry gambar tiada kena mengena sebab rate pakai laptop",Positive
I really like it very much Hope will buy again Thanks seller for the nice shoe I was so happy to having a nice shoe I really love it so muchh,Positive
Sorry for the unrelated picture and video.. bought for my friend.. he likes it.. product just like in the picture..,Neutral
"dh sampai baru review okay,padahal tidak tahan air ye,jangan beli kalau nak beli pakai selam lautan biru okay, ngam memang mantul la pak abu molek bagan terbaik beli la review cantik molek ngam soii la mira mira mira",Negative
Kasut dia cntik dan warna pun sesuai dgn warna di gmbr hehe. Saiz pun ngam di kaki bole pkai jln jln ni 😍 beli ia guys kasut ringan x berat mna,Positive
"Barang sampai dengan selamat. Tiada kerosakkan. Semua canti. Ngam sama harga dan kualiti. Siapa2 yg mauhu beli, beli saja biarpun murah tapi tetap cantik juga ni smua. Asal kan ada saja bah. Maaf gambar tiada kaitan sebab barang sudah simpan",Positive
"Kasut dia muat, pakai pun selesa. Overall kualiti dia bagus except time shipping, kalau ada bagi kotak bagus lagi, tak dia renyuk² dalam plastik.",Positive
Terima kasih Seller.,Neutral
"Fantastic package, good quality, the size fits so well , the shoe wrapped in good condition",Positive
Harga dan kualiti baik kena dengan harga serta penghantaran terbaik,Positive
bad kasut tidak lawa cuma x dpt kasut tapi sokay,Negative
Terima barang dalam keadaan baik.Penghantaran pantas.Berbaloi beli kat kedai ni,Positive
"Beautiful and comfortable shoes, and most importantly fast delivery , thanks saler",Positive
Goods received in good condition and no damage. Fast delivery too.,Positive
Kasut sedikit kemik sebab Takde kotak slow delivery,Negative
Lembut dan senang pakai.Tapak pun menarik. Love the design,Positive
Kasut sampai with kerosakan tak dlm kotak,Negative
"Ok selamat sampai, received the item",Neutral
ngam ngam can pakai,Neutral
"haven't try yet, looks ok.",Neutral
Cantik seperti digambar.... Penghantaran juga cepat.... Terima kasih seller,Positive
"Comes without box, quality ok only but not good value for money.",Negative
"pembungkusan kurang kemas, received item.",Negative
"Fast delivery, Harga murah, design lawa",Positive
mantap gila ni...,Positive
"kotak so ada kemek sikit, not good",Negative
"okay cantik, kena ngn harga",Positive
Kasut cantik dan senang nak bersihkan,Positive
Barang dah sampai dengan keadaan baik perhantaran cepat dgn sewaktunya Quality cun dgn harga tq saller.,Positive
penghantaran sangat fast sekali.,Positive
kasut agak kecil... not comfortable,Negative
Barang sampai dgn selamat..kasut tidak koyak dan dpt saiz seperti yg di order..,Neutral
"Penghantaran yang pantas, harga baik, layanan penjual sangat baik. okok",Positive
Terbaik seller fast delivery appreciate it alottt thank you so much,Positive
"Trust seller,delivery very good,can buy more🔥",Positive
hope fit well to my cousins,Neutral
Barangan diterima dalam keadaan selamat dan dibungkus dengan baik sekali.,Positive
Is this how you guys packing my shoe? It’s not in the box? Damn I hate this,Negative
Requested the seller to ship out early,Neutral
I wear it on normal day. rasa ok,Neutral
beli untuk working saje,Neutral
okay lah.. harga dia,Neutral
normal only. kalau rasa murah beli je lah..,Neutral
"Tak cantik. Saiz tak sesuai dan pling penting tak selesa .. warna kuning dia  tak cantik betul, nnt berminat nk beli warna lain pulk.. bad seller",Negative
cuma penghantaran sampai 2 minggu lebih very noob,Negative
"Cantik sangat! Love it so much! Shipping agak lambat masa di oversea. Tapi sgt laju masa dh sampai Malaysia. Shipping masa di Malaysia ni tunggu sehari dua tgk² dah delivered , dh sampai rumah. Very satisfied! Cuma its quiet long to wait masa kasut ni process for Shipping di China. Saya saiz 36 order saiz 37. Tak pakai stokin pun dh boleh ngam tapi kalau pakai stokin skali rasa lebih ngam dan selesa masa jalan. Masa mula² buka parcel i thought the colour is white , after a while baru perasan mmg cream white same with the colour i ordered. Thank u seller! Brg sampai dlm keadaan yg sgt baik walaupun ship dri tempat yg jauh. Tak sabar nak pakai kat luar sebab cantik! Very recommended!👍🏻👍🏻👍🏻👍🏻👍🏻",Positive
Agak sempit septutnya ambil size 36 tpi trambil size 35 xpalh jnji smpi n nmpk paduuu bila pki😂😂😂korg kena ambil size cun dgn kaki jgn ambil pling kecik dri size septutnya,Negative
Received item in good condition. Good product quality. Trusted and recommended seller. Thank you very much.,Positive
"sangat marah, get delayed for so longggg",Negative
"Alhamdulillah..dah selamat sampai, penghantaran agak lama, sebab dari luar negara..ngam saiz kaki anak dara, good good",Positive
"I got the size i choose. Fit me just on point. Dont have space for socks, but thin sock will be ok. I should choose 37.5 next time.",Neutral
"Cantikkkkk sangattttt , in loveeeeeee gileee kasut niiii 😍❤️ boleh repeat lagi niiiiii heheheh , dah sampai ingatkan wrna dark blue rupa² nya hitam nasib baikk , thank you yeee",Positive
Barang sampai..kasut sama mcm dalam gambar...lembut dan sesuai dgn saiz kaki sya..tq seller,Neutral
"Saya suka sangat , tak ape la lmbt sikit asal kan kasut nya Okay bgus saiz pon muat hehehehe I really like it",Positive
Penghantaras pantas. Kualiti kasut terbaik. Cantik design. Thank you seller.,Positive
kasut cantik dan selesa dipakai. saiz ngam beli ikut saiz yg biasa beli di kedai. Can buy second time,Positive
"Sampai lebih awal tak sangka pula tpi muat lah ikut saiz kaki sepatutnya beli yang lebih besar sikit biar tahan lama, tpi takpe alhamdulillahSaya amik saiz 36 sepatutnya amik 37 apa2 pon terima kasih 👍🤗",Neutral
"thank you seller , fast delivery",Neutral
ok la but i prefer you guys beli one size bigger than i 😭,Neutral
thankyou seller barang sampai dengan selamat,Neutral
terimakasih barang selamat  ...pembungkus an yang baik dan tidak koyak.. thank you seller,Neutral
Nice shoes. Very affordable and comfortable when you guys wear. Thanks seller,Positive
I bought this just to see wheter I will like it if I want to buy converse. But suprisingly the quality is good. Love the color. A bit small so better take one size up. Baik lah quality dia,Positive
Sorry pic unrelated I like this item fast delivery good packaging the price reasonable thank you sellers. Sangat suka nii...,Positive
penghantaran agak lambat sbb dari china...very disappointing,Negative
"recommended seller, fast delivery and description is same as the item, baik",Positive
"very easy to broken, sakit hati",Negative
"2 weeks alr wear out, sakit hati, mahal ni..",Negative
